year,health_board,age,sex,incident_cases,crude_rate,easr
2011,NHS Greater Glasgow & Clyde,0-44 years,Female,73,22.108616909154783,22.322338478310073
2011,NHS Greater Glasgow & Clyde,45-64 years,Male,354,247.9130483500476,253.40228257159418
2011,NHS Greater Glasgow & Clyde,45-64 years,Female,266,174.963165649337,179.56312750360965
2011,NHS Greater Glasgow & Clyde,65-74 years,Male,318,746.3036845810842,751.4147280929026
2011,NHS Greater Glasgow & Clyde,65-74 years,Female,285,556.2712261388922,553.0086445159151
2011,NHS Greater Glasgow & Clyde,75plus years,Male,560,1851.1784734388946,2006.249747231417
2011,NHS Greater Glasgow & Clyde,75plus years,Female,942,1769.5125387433081,1762.3610467986477
2011,NHS Highland,0-44 years,Male,15,18.322848592194468,19.477122294581534
2011,NHS Highland,0-44 years,Female,8,9.963012316773977,10.287957095151347
2011,NHS Highland,45-64 years,Male,90,191.4445555295569,184.8364760497931
2011,NHS Highland,45-64 years,Female,81,166.35859519408504,163.40264676678
2011,NHS Highland,65-74 years,Male,120,734.6189164370983,750.550678104512
2011,NHS Highland,65-74 years,Female,99,558.5961744625628,563.4800520004702
2011,NHS Highland,75plus years,Male,185,1688.5724717050018,1788.2666328334965
2011,NHS Highland,75plus years,Female,312,1894.008377344746,1860.1894421879188
2011,NHS Lanarkshire,0-44 years,Male,45,24.560503435741538,24.782959572908247
2011,NHS Lanarkshire,0-44 years,Female,35,18.89206155573428,18.31656554991889
2011,NHS Lanarkshire,45-64 years,Male,193,223.27367800002315,227.73460073821846
2011,NHS Lanarkshire,45-64 years,Female,139,150.64811202150258,153.12980942220653
2011,NHS Lanarkshire,65-74 years,Male,201,762.9820832068023,774.3818478563304
2011,NHS Lanarkshire,65-74 years,Female,138,438.8475481778287,439.86419553486473
2011,NHS Lanarkshire,75plus years,Male,285,1699.9701759618254,1836.6295358553782
2011,NHS Lanarkshire,75plus years,Female,450,1623.8452655889146,1649.221183844795
2011,NHS Lothian,0-44 years,Male,36,14.664667926741837,15.111873864088977
2011,NHS Lothian,0-44 years,Female,31,12.562050450815521,12.492485933850585
2011,NHS Lothian,45-64 years,Male,187,181.03840531304155,184.71601513399594
2011,NHS Lothian,45-64 years,Female,157,146.74405780033462,149.49027175951866
2011,NHS Lothian,65-74 years,Male,188,622.3104932141674,629.7771548621951
2011,NHS Lothian,65-74 years,Female,172,491.4847411132701,492.5624235172605
2011,NHS Lothian,75plus years,Male,375,1696.1418426884977,1881.1673908401935
2011,NHS Lothian,75plus years,Female,568,1592.3745444350996,1562.8330508307424
2011,NHS Orkney,0-44 years,Male,-1,-1,19.84126984126984
2011,NHS Orkney,0-44 years,Female,0,0,0
2011,NHS Orkney,45-64 years,Male,-1,-1,93.82454790754758
2011,NHS Orkney,45-64 years,Female,-1,-1,125.83958476333264
2011,NHS Orkney,65-74 years,Male,-1,-1,534.2833094629774
2011,NHS Orkney,65-74 years,Female,-1,-1,327.68588584566623
2011,NHS Orkney,75plus years,Male,-1,-1,1509.7112538457409
2011,NHS Orkney,75plus years,Female,-1,-1,2070.8107775676535
2011,NHS Shetland,0-44 years,Male,0,0,0
2011,NHS Shetland,0-44 years,Female,0,0,0
2011,NHS Shetland,45-64 years,Male,-1,-1,112.85522833993883
2011,NHS Shetland,45-64 years,Female,-1,-1,194.29536458725542
2011,NHS Shetland,65-74 years,Male,-1,-1,871.7474813365224
2011,NHS Shetland,65-74 years,Female,-1,-1,811.6115616552297
2011,NHS Shetland,75plus years,Male,-1,-1,1755.540054932695
2011,NHS Shetland,75plus years,Female,-1,-1,1163.776680676259
2011,NHS Tayside,0-44 years,Male,24,22.062473570995202,22.769097840907882
2011,NHS Tayside,0-44 years,Female,17,15.497092016262831,15.549020697148508
2011,NHS Tayside,45-64 years,Male,131,239.3787117405208,237.2945072390022
2011,NHS Tayside,45-64 years,Female,77,134.44380423585284,132.40845065337717
2011,NHS Tayside,65-74 years,Male,113,604.0196707290999,606.4582183928115
2011,NHS Tayside,65-74 years,Female,88,412.48710977781946,412.59071233920395
2011,NHS Tayside,75plus years,Male,268,1868.2467758800974,1947.2046636034936
2011,NHS Tayside,75plus years,Female,377,1697.8158072506192,1691.1684895263336
2011,NHS Western Isles,0-44 years,Male,-1,-1,33.03821893596666
2011,NHS Western Isles,0-44 years,Female,0,0,0
2011,NHS Western Isles,45-64 years,Male,-1,-1,224.8113167618456
2011,NHS Western Isles,45-64 years,Female,-1,-1,97.64260052167923
2011,NHS Western Isles,65-74 years,Male,-1,-1,459.0080131648488
2011,NHS Western Isles,65-74 years,Female,-1,-1,431.54816113906855
2011,NHS Western Isles,75plus years,Male,-1,-1,1440.3139224675538
2011,NHS Western Isles,75plus years,Female,-1,-1,1489.7981281102748
